account_id,login_count_last_30d,login_count_last_7d,last_login_days_ago,total_transactions_last_30d,total_transactions_last_90d,transaction_amount_last_30d,avg_session_minutes,support_tickets_last_30d,refund_count_last_90d,payment_failures_last_30d,email_open_rate,subscription_age_days,plan_level,feature_dashboard,feature_report,feature_api
ACC001,25,8,1,12,35,15800.50,45.5,0,0,0,0.85,365,enterprise,25,18,42
ACC002,18,2,5,8,25,8200.00,30.2,1,0,0,0.60,240,business,15,10,20
ACC003,5,1,12,2,5,1200.00,15.0,3,1,1,0.30,180,basic,5,2,3
ACC004,2,0,25,0,1,150.00,8.5,5,2,3,0.10,90,basic,2,0,0
ACC005,30,10,0,20,60,25000.00,55.0,0,0,0,0.92,450,enterprise,35,28,65
ACC006,12,6,3,6,18,5500.00,25.0,2,1,0,0.70,150,business,10,8,12
ACC007,8,3,7,3,10,2800.00,20.5,1,0,0,0.55,200,basic,8,4,5
ACC008,1,0,40,0,0,0.00,5.0,2,1,2,0.05,60,basic,1,0,0
ACC009,22,7,2,15,45,18500.00,40.0,0,0,0,0.78,300,business,20,15,35
ACC010,15,4,4,10,28,9800.00,32.0,1,0,1,0.65,220,business,18,12,22
ACC011,3,1,18,1,3,450.00,10.0,4,2,2,0.15,100,basic,3,1,1
ACC012,28,9,1,18,52,22000.00,50.0,0,0,0,0.88,400,enterprise,30,22,55
ACC013,10,5,2,5,15,4200.00,22.0,0,0,0,0.68,180,business,12,9,15
ACC014,6,2,10,2,6,1800.00,18.0,2,0,0,0.45,120,basic,6,3,4
ACC015,0,0,60,0,0,0.00,0.0,1,0,1,0.02,30,basic,0,0,0
ACC016,20,6,3,12,35,12000.00,38.0,1,0,0,0.72,280,business,22,16,30
ACC017,4,1,20,1,2,600.00,12.0,3,1,1,0.20,80,basic,4,1,2
ACC018,24,8,1,16,48,19500.00,48.0,0,0,0,0.80,350,enterprise,28,20,50
ACC019,14,5,5,7,20,6500.00,28.0,2,1,0,0.62,160,business,14,10,18
ACC020,9,3,8,4,12,3200.00,24.0,1,0,0,0.50,140,basic,9,5,7
